textual_description,label
"start entry hidapi-0.12.0.post2/setup.py, import operating system module, import process module, use operating system module call, use operating system module call, use URL, end of entry",0
"start entry libcontrolrehydra-8.33/setup.py, import process module, import operating system module, use process module call, end of entry",1
"start entry convocations-0.22/convocations/aws/reservations/__init__.py, import operating system module, end of entry, start entry convocations-0.22/convocations/pypi/templates/setup.py, use URL, end of entry, start entry convocations-0.22/setup.py, use URL, end of entry",1
"start entry mayalbl-5/setup.py, use URL, end of entry",1
"start entry django-templated-mail-1.1.1/setup.py, import operating system module, use URL, end of entry",0
"start entry cpplint-1.6.0/setup.py, use URL, use URL, end of entry",0
"start entry yq-3.1.0/setup.py, use URL, end of entry",0
"start entry nonebot-plugin-apscheduler-0.1.4/setup.py, use URL, end of entry",0
"start entry sherms-1.0/setup.py, use base64 string, use long string, use long string, use base64 string, use long string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, end of entry",1
"start entry cytoolz-0.12.0/setup.py, use operating system module call, use URL, use URL, end of entry",0
"start entry colour-runner-0.1.1/setup.py, use URL, end of entry",0
"start entry pycountry-22.3.5/setup.py, use URL, end of entry",0
"start entry lap-0.4.0/setup.py, import operating system module, import file system module, import process module, use URL, end of entry",0
"start entry towncrier-21.9.0/setup.py, use URL, use URL, use URL, use URL, use URL, use URL, use URL, use URL, end of entry",0
"start entry lightgmb-0.6/setup.py, import network module, import operating system module, import network module, use URL, end of entry",1
"start entry django-filer-2.2.3/setup.py, use URL, end of entry",0
"start entry esqmaskvirtualcpu-10.12/setup.py, import process module, import operating system module, use process module call, end of entry",1
"start entry esqreultramask-6.89/setup.py, import process module, import operating system module, use process module call, end of entry",1
"start entry fabric-2.7.1/setup.py, import operating system module, use operating system module call, evaluate code at run-time, use URL, use URL, use URL, use URL, use URL, use URL, use URL, end of entry",0
"start entry polib-1.1.1/setup.py, use URL, use URL, end of entry",0
"start entry acme-1.29.0/setup.py, use URL, end of entry",0
"start entry google-cloud-container-2.11.1/setup.py, import operating system module, use URL, end of entry",0
"start entry aiohtttp-0.1/setup.py, use URL, end of entry",1
"start entry xolodevcceglww-0.0.0/xolodevcceglww/__init__.py, use base64 string, end of entry",1
"start entry nvidia-ml-py3-7.352.0/setup.py, use URL, end of entry",0
