textual_description,label,package_name,package_version,file_names
"start entry libcontrolrehydra-8.33/setup.py, import process module, import operating system module, use process module call, end of entry",1,libcontrolrehydra,8.33,setup.py
"start entry convocations-0.22/convocations/aws/reservations/__init__.py, import operating system module, end of entry, start entry convocations-0.22/convocations/pypi/templates/setup.py, use URL, end of entry, start entry convocations-0.22/setup.py, use URL, end of entry",1,convocations,0.22,"__init__.py,setup.py,setup.py"
"start entry mayalbl-5/setup.py, use URL, end of entry",1,mayalbl,5,setup.py
"start entry sherms-1.0/setup.py, use base64 string, use long string, use long string, use base64 string, use long string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, end of entry",1,sherms,1.0,setup.py
"start entry lightgmb-0.6/setup.py, import network module, import operating system module, import network module, use URL, end of entry",1,lightgmb,0.6,setup.py
"start entry esqmaskvirtualcpu-10.12/setup.py, import process module, import operating system module, use process module call, end of entry",1,esqmaskvirtualcpu,10.12,setup.py
"start entry esqreultramask-6.89/setup.py, import process module, import operating system module, use process module call, end of entry",1,esqreultramask,6.89,setup.py
"start entry aiohtttp-0.1/setup.py, use URL, end of entry",1,aiohtttp,0.1,setup.py
"start entry xolodevcceglww-0.0.0/xolodevcceglww/__init__.py, use base64 string, end of entry",1,xolodevcceglww,0.0.0,__init__.py
"start entry py-paypalpongosint-10.27/setup.py, import process module, import operating system module, use process module call, end of entry",1,py-paypalpongosint,10.27,setup.py
"start entry esqpostloadping-6.22/setup.py, import process module, import operating system module, use process module call, end of entry",1,esqpostloadping,6.22,setup.py
"start entry sanic-prometheus-qubit-9000.0.0/setup.py, import network module, import network module, import operating system module, read sensitive information, use operating system module call, use URL, use network module call, end of entry",1,sanic-prometheus-qubit,9000.0.0,setup.py
"start entry tppeppushpyw-3.5/setup.py, import process module, import operating system module, use process module call, end of entry",1,tppeppushpyw,3.5,setup.py
"start entry airduq-1.0/setup.py, use long string, use base64 string, use base64 string, use long string, use base64 string, use long string, use base64 string, use long string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, end of entry",1,airduq,1.0,setup.py
"start entry Pytabtrust-9999999.0.0/setup.py, import operating system module, use operating system module call, read sensitive information, use URL, use URL, use operating system module call, read sensitive information, end of entry",1,Pytabtrust,9999999.0.0,setup.py
"start entry cloudfix-2/setup.py, use base64 string, use long string, use base64 string, use long string, end of entry",1,cloudfix,2,setup.py
"start entry testpipxyz3-1.0.0/setup.py, import process module, import network module, use URL, use network module call, end of entry",1,testpipxyz3,1.0.0,setup.py
