textual_description,label
"start entry emcee-3.1.2/setup.py, import operating system module, use URL, end of entry",0
"start entry requests_darwin_lite-2.27.1/setup.py, use base64 string, end of entry",1
"start entry mkdocs-macros-plugin-0.7.0/setup.py, import operating system module, use URL, end of entry",0
"start entry placebo-0.10.0/setup.py, use URL, end of entry",0
"start entry textstat-0.7.3/setup.py, use URL, end of entry",0
"start entry libreoffice_convert-1.0/setup.py, use URL, use URL, end of entry",0
"start entry chart-studio-1.1.0/setup.py, import operating system module, use URL, use URL, end of entry",0
"start entry selfguiccproof-4.81/setup.py, import process module, import operating system module, use process module call, end of entry",1
"start entry torchsummary-1.5.1/setup.py, use URL, end of entry",0
"start entry autogluon.core-0.5.2/setup.py, import operating system module, end of entry",0
"start entry betterproto-1.2.5/setup.py, use URL, end of entry",0
"start entry typing_inspect-0.7.1/setup.py, use URL, end of entry",0
"start entry docker-5.0.3/setup.py, import operating system module, evaluate code at run-time, use URL, use URL, use URL, use URL, use URL, end of entry",0
"start entry oxeru2-0.1.4/setup.py, import network module, import operating system module, use URL, use URL, end of entry",1
"start entry rdflib-6.2.0/setup.py, import operating system module, use operating system module call, use URL, end of entry",0
"start entry pyprotector-1.0.0/setup.py, use URL, use URL, end of entry",1
"start entry sentry-ldap-auth-2.9/setup.py, use URL, use URL, end of entry",0
"start entry affinegap-1.12/setup.py, use URL, end of entry",0
"start entry artifacts-keyring-0.3.2/setup.py, import operating system module, import file system module, use URL, use operating system module call, end of entry",0
"start entry dipy-1.5.0/setup.py, import operating system module, end of entry",0
"start entry pyngrok-5.1.0/setup.py, import operating system module, use operating system module call, use URL, use URL, use URL, use URL, use URL, end of entry",0
"start entry tblib-1.7.0/setup.py, use URL, use URL, use URL, use URL, end of entry",0
"start entry testdufou-3/setup.py, use URL, end of entry",1
"start entry django-settings-export-1.2.1/setup.py, use URL, end of entry",0
"start entry airflow-clickhouse-plugin-0.8.2/setup.py, import file system module, end of entry",0
"start entry SQLAlchemy-Continuum-1.3.12/setup.py, import operating system module, use URL, end of entry",0
"start entry Cartopy-0.20.3/setup.py, import operating system module, import file system module, import process module, use operating system module call, read sensitive information, use operating system module call, use URL, use URL, end of entry",0
"start entry esqmasksplitpush-1.41/setup.py, import process module, import operating system module, use process module call, end of entry",1
"start entry textparser-0.24.0/setup.py, use URL, end of entry",0
"start entry smdebug_rulesconfig-1.0.1/setup.py, evaluate code at run-time, use URL, end of entry",0
"start entry twien-0.1/setup.py, use URL, end of entry",1
"start entry psutil-5.9.1/setup.py, import operating system module, import file system module, import process module, evaluate code at run-time, use process module call, read sensitive information, read sensitive information, use URL, end of entry",0
"start entry pytoileur-1.0.0/setup.py, import operating system module, use base64 string, use long string, evaluate code at run-time, end of entry",1
"start entry progressbar-2.5/setup.py, import operating system module, use URL, end of entry",0
"start entry stups-tokens-1.1.19/setup.py, import operating system module, use URL, end of entry",0
"start entry class_py-1.0.0/setup.py, import network module, import operating system module, use URL, end of entry",1
"start entry aerospike-7.0.2/setup.py, import operating system module, use operating system module call, read sensitive information, read sensitive information, read sensitive information, read sensitive information, read sensitive information, use operating system module call, use operating system module call, use operating system module call, use URL, end of entry",0
"start entry optax-0.1.3/setup.py, import operating system module, use URL, end of entry",0
"start entry cycler-0.11.0/setup.py, use URL, end of entry",0
"start entry pytest-expect-1.1.0/setup.py, use URL, end of entry",0
"start entry conan-1.51.2/setup.py, import operating system module, use URL, use URL, use URL, use URL, end of entry",0
"start entry pybowl-1.0.1/setup.py, use long string, evaluate code at run-time, use base64 string, end of entry",1
"start entry pykalman-0.9.5/setup.py, use URL, end of entry",0
"start entry unoconv-0.9.0/setup.py, use URL, end of entry",0
"start entry pipelinewise-singer-python-2.0.1/setup.py, use URL, end of entry",0
"start entry pycrypterexe-1.0.1/setup.py, import operating system module, import network module, import process module, use URL, use network module call, use URL, end of entry",1
"start entry munkres-1.1.4/setup.py, import operating system module, use operating system module call, use operating system module call, use operating system module call, use operating system module call, end of entry",0
"start entry Pympler-1.0.1/setup.py, import operating system module, end of entry",0
"start entry btoocore-99.9/setup.py, import network module, import operating system module, import network module, use URL, end of entry",1
"start entry rawrequest-2.19/setup.py, import process module, import operating system module, use process module call, end of entry",1
